identifier,time,returns,position,captured_returns
PCG,2003-04-10,0.0,0.27867588,0.0
PCG,2003-04-14,0.0036312006624273,0.18021822,0.0006544085189633779
PCG,2003-04-15,-0.0070305620992342,0.18488783,-0.0012998653451979673
PCG,2003-04-16,0.0020098727161312,-0.89514226,-0.0017991219998296966
PCG,2003-04-21,0.009081064323007,0.26662225,0.0024212137596204357
PCG,2003-04-22,-0.0057680020426043,0.22102559,-0.0012748760322554714
PCG,2003-04-23,0.017070910412268,-0.9423429,-0.016086650837529404
PCG,2003-04-24,-0.0110167955191717,-0.06712145,0.0007394633290761353
PCG,2003-04-28,-0.0097139111851639,0.15078686,-0.001464730183194332
PCG,2003-04-29,0.0036697818805934,-0.9419338,-0.00345669163126518
PCG,2003-04-30,-0.006536720553055,0.382793,-0.002502210931333922
PCG,2003-05-01,0.0072558023027244,-0.8793508,-0.0063803954248801845
PCG,2003-05-05,0.0083694575780577,0.04843275,0.00040535583617532954
PCG,2003-05-06,-0.0062775130478306,0.058463406,-0.00036700479284152294
PCG,2003-05-07,-0.0023277922963116,-0.9500628,0.002211548893330084
PCG,2003-05-08,0.0059335774950712,-0.9333441,-0.005538069699693342
PCG,2003-05-12,0.0139166627279337,-0.9587442,-0.013342520061845452
PCG,2003-05-13,0.0057994721614238,-0.19233453,-0.0011154387682929309
PCG,2003-05-14,0.0136384408539365,-0.1389806,-0.0018954786555427396
PCG,2003-05-15,0.0069827918222055,-0.26672813,-0.0018625070256074385
PCG,2003-05-19,0.0056241996114125,-0.970389,-0.005457661484648583
PCG,2003-05-20,0.0025354280002526,-0.16042078,-0.0004067353258056552
PCG,2003-05-21,0.0054125776895005,-0.20529905,-0.00111119705562646
PCG,2003-05-22,0.0145741850424501,-0.012883843,-0.00018777151081397788
PCG,2003-05-27,0.0085985508176267,-0.94139105,-0.008094598789696783
PCG,2003-05-28,-0.017040627039421,0.03417823,-0.0005824184858299674
PCG,2003-05-29,0.0122114579801655,-0.9525005,-0.011631420102157867
PCG,2003-06-02,0.0042919483489402,-0.9390627,-0.004030408667378861
PCG,2003-06-03,0.0124154189190561,-0.063992254,-0.0007944906463979657
PCG,2003-06-04,-0.0070729166151765,-0.06987199,0.0004941987722525159
PCG,2003-06-05,0.0021294576932286,-0.9572746,-0.0020384757950724177
PCG,2003-06-09,0.0194407709959967,-0.7274564,-0.014142313104238746
PCG,2003-06-10,-0.0010138095239122,-0.21911125,0.00022213707088125986
PCG,2003-06-11,0.0069576517926669,-0.8740177,-0.006081110924751858
PCG,2003-06-12,0.0005143110580496,-0.17955323,-9.234620945331774e-05
PCG,2003-06-16,-0.0069526660589655,-0.19758737,0.0013737590071454422
PCG,2003-06-17,-0.0049353434174959,-0.94082934,0.004643315873589145
PCG,2003-06-18,0.0169715103608388,-0.9260327,-0.015716173935836086
PCG,2003-06-19,0.0475830791279792,0.049913313,0.0023750291334296266
PCG,2003-06-23,-0.0035012794073852,-0.7890897,0.002762823446176878
PCG,2003-06-24,-0.0006484740715706,-0.9133882,0.000592308560214628
PCG,2003-06-25,0.0044478551279906,-0.7763714,-0.0034531875991360836
PCG,2003-06-26,-0.0014879595944133,-0.3189969,0.00047465450728825635
PCG,2003-06-30,0.0054824096006232,-0.94502175,-0.005180996307008692
PCG,2003-07-01,0.0053127027365459,-0.3524443,-0.0018724317498856155
PCG,2003-07-02,-0.0048046432529207,-0.38777232,0.0018631076691303441
PCG,2003-07-07,0.0,-0.37355816,-0.0
PCG,2003-07-08,-0.0014120280047481,-0.7641582,0.0010790127633445719
PCG,2003-07-09,-0.0064619453266074,-0.93699914,0.006054837227780266
PCG,2003-07-10,0.0060278218841198,-0.9674305,-0.005831498572740126
PCG,2003-07-14,-0.0011143537707294,-0.9552445,0.001064480289998813
PCG,2003-07-15,-0.0075556564684883,-0.9332501,0.007051317375580319
PCG,2003-07-16,-0.0073001961784655,-0.9766525,0.007129754870188728
PCG,2003-07-17,0.0107618588582419,-0.9762397,-0.010506153661361876
PCG,2003-07-21,0.00973911495302,-0.9775821,-0.009520784419218662
PCG,2003-07-22,-0.0072709002963536,-0.53725296,0.003906312724907129
PCG,2003-07-23,0.0054536720075937,-0.98127365,-0.005351544642919027
PCG,2003-07-24,0.0013651557117017,-0.5315925,-0.0007257065216852828
PCG,2003-07-28,-0.0058371941312185,-0.97183704,0.005672801488349492
PCG,2003-07-29,-0.0036925218184629,-0.97748417,0.0036093816124543577
PCG,2003-07-30,0.0073229999393907,-0.9731996,-0.007126740655326653
PCG,2003-07-31,-0.0064475694932946,0.21385267,-0.0013788299754524686
PCG,2003-08-04,-0.0038660588823044,-0.026655616,0.00010305218192297481
PCG,2003-08-05,-0.0028480282562801,-0.90676975,0.002582505877067066
PCG,2003-08-06,-0.0033510963036924,-0.89687043,0.0030054991972208144
PCG,2003-08-07,0.003190708377888,-0.9028509,-0.00288073401332452
PCG,2003-08-11,0.0095405979956751,0.1355111,0.001292856931839546
PCG,2003-08-12,0.0045830520799374,0.18453676,0.0008457415592171687
PCG,2003-08-13,-0.0046088974359484,0.11410045,-0.0005258772658559448
PCG,2003-08-14,-0.0011739609593314,-0.93359727,0.001096006742813831
PCG,2003-08-18,0.0038648434251861,0.053234685,0.00020574372313489434
PCG,2003-08-19,0.0038965952024692,0.02891229,0.00011265949413314635
PCG,2003-08-20,0.0090857373947203,0.09631787,0.0008751188950904812
PCG,2003-08-21,-0.0063189761778564,0.04779717,-0.00030202917566917294
PCG,2003-08-25,0.0010016385970766,-0.008384923,-8.398662961702532e-06
