date,t,cp_location,cp_location_norm,cp_score
2011-02-03,1348,,,
2011-02-04,1349,,,
2011-02-07,1350,,,
2011-02-08,1351,,,
2011-02-09,1352,,,
2011-02-10,1353,,,
2011-02-11,1354,,,
2011-02-14,1355,,,
2011-02-15,1356,,,
2011-02-16,1357,,,
2011-02-17,1358,,,
2011-02-18,1359,,,
2011-02-22,1360,,,
2011-02-23,1361,,,
2011-02-24,1362,,,
2011-02-25,1363,,,
2011-02-28,1364,,,
2011-03-01,1365,,,
2011-03-02,1366,,,
2011-03-03,1367,,,
2011-03-04,1368,,,
2011-03-07,1369,,,
2011-03-08,1370,,,
2011-03-09,1371,,,
2011-03-10,1372,,,
2011-03-11,1373,,,
2011-03-14,1374,,,
2011-03-15,1375,,,
2011-03-16,1376,,,
2011-03-17,1377,,,
2011-03-18,1378,,,
2011-03-21,1379,,,
2011-03-22,1380,,,
2011-03-23,1381,,,
2011-03-24,1382,,,
2011-03-25,1383,,,
2011-03-28,1384,,,
2011-03-29,1385,,,
2011-03-30,1386,,,
2011-03-31,1387,,,
2011-04-01,1388,,,
2011-04-04,1389,,,
2011-04-05,1390,,,
2011-04-06,1391,,,
2011-04-07,1392,,,
2011-04-08,1393,,,
2011-04-11,1394,,,
2011-04-12,1395,,,
2011-04-13,1396,,,
2011-04-14,1397,,,
2011-04-15,1398,,,
2011-04-18,1399,,,
2011-04-19,1400,,,
2011-04-20,1401,,,
2011-04-21,1402,,,
2011-04-25,1403,,,
2011-04-26,1404,,,
2011-04-27,1405,,,
2011-04-28,1406,,,
2011-04-29,1407,,,
2011-05-02,1408,,,
2011-05-03,1409,,,
2011-05-04,1410,,,
2011-05-05,1411,,,
2011-05-06,1412,,,
2011-05-09,1413,,,
2011-05-10,1414,,,
2011-05-11,1415,,,
2011-05-12,1416,,,
2011-05-13,1417,,,
2011-05-16,1418,,,
2011-05-17,1419,,,
2011-05-18,1420,,,
2011-05-19,1421,,,
2011-05-20,1422,,,
2011-05-23,1423,,,
2011-05-24,1424,,,
2011-05-25,1425,,,
2011-05-26,1426,,,
2011-05-27,1427,,,
2011-05-31,1428,,,
2011-06-01,1429,,,
2011-06-02,1430,,,
2011-06-03,1431,,,
2011-06-06,1432,,,
2011-06-07,1433,,,
2011-06-08,1434,,,
2011-06-09,1435,,,
2011-06-10,1436,,,
2011-06-13,1437,,,
2011-06-14,1438,,,
2011-06-15,1439,,,
2011-06-16,1440,,,
2011-06-17,1441,,,
2011-06-20,1442,,,
2011-06-21,1443,,,
2011-06-22,1444,,,
2011-06-23,1445,,,
2011-06-24,1446,,,
2011-06-27,1447,,,
2011-06-28,1448,,,
2011-06-29,1449,,,
2011-06-30,1450,,,
2011-07-01,1451,,,
2011-07-05,1452,,,
2011-07-06,1453,,,
2011-07-07,1454,,,
2011-07-08,1455,,,
2011-07-11,1456,,,
2011-07-12,1457,,,
2011-07-13,1458,,,
2011-07-14,1459,,,
2011-07-15,1460,,,
2011-07-18,1461,,,
2011-07-19,1462,,,
2011-07-20,1463,,,
2011-07-21,1464,,,
2011-07-22,1465,,,
2011-07-25,1466,,,
2011-07-26,1467,,,
2011-07-27,1468,,,
2011-07-28,1469,,,
2011-07-29,1470,,,
2011-08-01,1471,,,
2011-08-02,1472,,,
2011-08-03,1473,,,
2011-08-04,1474,,,
2011-08-05,1475,,,
2011-08-08,1476,,,
2011-08-09,1477,,,
2011-08-10,1478,,,
2011-08-11,1479,,,
2011-08-12,1480,,,
2011-08-15,1481,,,
2011-08-16,1482,,,
2011-08-17,1483,,,
2011-08-18,1484,,,
2011-08-19,1485,,,
2011-08-22,1486,,,
2011-08-23,1487,,,
2011-08-24,1488,,,
2011-08-25,1489,,,
2011-08-26,1490,,,
2011-08-29,1491,,,
2011-08-30,1492,,,
2011-08-31,1493,,,
2011-09-01,1494,,,
2011-09-02,1495,,,
2011-09-06,1496,,,
2011-09-07,1497,,,
2011-09-08,1498,,,
2011-09-09,1499,,,
2011-09-12,1500,,,
2011-09-13,1501,,,
2011-09-14,1502,,,
2011-09-15,1503,,,
2011-09-16,1504,,,
2011-09-19,1505,,,
2011-09-20,1506,,,
2011-09-21,1507,,,
