date,t,cp_location,cp_location_norm,cp_score
2020-09-14,126,62.0590790850769,0.5074676263089135,0.9999999999017805
2020-09-15,127,1.0000558975916802,0.99999955636832,0.9999999999996265
2020-09-16,128,2.0001428448788046,0.9999988663104856,0.9999999999998909
2020-09-17,129,3.000014246079242,0.999999886935879,0.999999999975121
2020-09-18,130,4.000024868860178,0.9999998026280938,0.9999999999838551
2020-09-21,131,5.000064925648457,0.9999994847170757,0.999999999957911
2020-09-22,132,6.000008245078236,0.9999999345628712,0.9999999999852665
2020-09-23,133,28.94511209723419,0.8258324436727446,0.999725283340671
2020-09-24,134,77.98806705356007,0.44453915036857083,0.9998590245554603
2020-09-25,135,77.98592032527847,0.4524926958311232,0.9998940598082366
2020-09-28,136,77.99752967358364,0.4603370660826695,0.9995458013239412
2020-09-29,137,62.73203422986222,0.5894282997629983,0.9993686352912473
2020-09-30,138,77.74682378058269,0.47819981126521677,0.9994473066808442
2020-10-01,139,62.995459009065186,0.603210642785197,0.9991071135977022
2020-10-02,140,77.9954635160843,0.49209949590409285,0.9995908503272484
2020-10-05,141,77.99420269312463,0.5000460103720267,0.9997047321506433
2020-10-06,142,77.97275628479746,0.5081527278984329,0.9982600585280076
2020-10-07,143,77.99223629608046,0.51593463257079,0.9953879495999065
2020-10-08,144,77.67426137341592,0.5263947510046356,0.9952422106012685
2020-10-09,145,77.98726225026104,0.5318471249979283,0.9970164204142132
2020-10-12,146,77.7049547182521,0.5420241689027612,0.9971882553865203
2020-10-13,147,77.99654545747136,0.5476464646232432,0.9984369081207388
2020-10-14,148,77.75792780743615,0.5574767634330464,0.9968311775380382
2020-10-15,149,77.98935581037972,0.5635765411874626,0.9980618257025388
2020-10-16,150,77.99485947058302,0.5714693692810872,0.9961808011948879
2020-10-19,151,72.00625283503373,0.6269345013092561,0.9635517723697102
2020-10-20,152,62.99733481004689,0.7063703586504216,0.9782145587492154
2020-10-21,153,77.99190749736614,0.595302321449475,0.994518466272754
2020-10-22,154,77.99607090702304,0.6032057864521981,0.9953908247337779
2020-10-23,155,77.99655782661853,0.611138429947472,0.9924893603024109
2020-10-26,156,77.99454940165913,0.6190908777646101,0.9876214853542907
2020-10-27,157,77.99436390855712,0.6270288578685943,0.9909688464516033
2020-10-28,158,77.99703720509723,0.634944149165895,0.988189967926042
2020-10-29,159,77.99331233365419,0.6429102195741732,0.9845733080666899
2020-10-30,160,77.99799867104886,0.650809534356755,0.9836136169860796
2020-11-02,161,77.76850233300222,0.6605674418015697,0.9786957622706657
2020-11-03,162,77.99711148383503,0.6666895913981347,0.9861443266860087
2020-11-04,163,83.52729865686882,0.6307357249454856,0.9826565068656554
2020-11-05,164,101.98460136928716,0.4921857034183559,0.7529924449870387
2020-11-06,165,101.98894112532348,0.5000877688466391,0.7795476450596854
2020-11-09,166,83.27930833418401,0.6565134259191745,0.9854642081507571
2020-11-10,167,103.99080436611581,0.5000729812213031,0.8161132288637711
2020-11-11,168,103.99117236564243,0.5080065685266474,0.8199014900643964
2020-11-12,169,105.99674496221353,0.500025833633226,0.8863121201108707
2020-11-13,170,103.9920612632633,0.5238725296566406,0.856756297946946
2020-11-16,171,103.98995128309964,0.5318257834674631,0.8000557564544382
2020-11-17,172,103.98569767452688,0.5397960502021677,0.8266887408580181
2020-11-18,173,103.9946142805215,0.5476617914244325,0.8463739449072747
2020-11-19,174,103.99773498989342,0.5555735318262427,0.8580610399508238
2020-11-20,175,103.98880445273102,0.5635809170418173,0.8754185833754637
2020-11-23,176,103.9940850939339,0.5714755151275087,0.8628817018170918
2020-11-24,177,103.98131371624312,0.5795133832044197,0.8569493097061545
2020-11-25,178,62.98861991635697,0.9127887308225637,0.9927937458346149
2020-11-27,179,103.99473700002792,0.5952798650791434,0.8922642713299179
2020-11-30,180,77.6948363237396,0.8119457434623841,0.9972686420590203
2020-12-01,181,103.99242907570405,0.6111711978118726,0.9163044527560821
2020-12-02,182,77.99665212283975,0.8254233958504782,0.9984421471612043
2020-12-03,183,77.99345328878167,0.8333852913588756,0.9990811219915114
2020-12-04,184,164.99436935208053,0.1508383384755514,0.9732706949375634
2020-12-07,185,143.99536925964324,0.32543357730441874,0.9323869060155214
2020-12-08,186,121.02503392931692,0.5156743338943102,0.7520226986964016
2020-12-09,187,77.70073830095394,0.8674544579289369,0.99957633640243
2020-12-10,188,126.71996031171795,0.4863495213355718,0.684482767135068
2020-12-11,189,126.775537120651,0.4938449434868969,0.6821000375624438
2020-12-14,190,126.7700671580992,0.5018248638246096,0.6831493923267702
2020-12-15,191,126.73796903778882,0.5100161187477078,0.6820724579212913
2020-12-16,192,126.68769736870095,0.5183516081849131,0.683235347009533
2020-12-17,193,126.64712242583892,0.5266101394774689,0.686191882633282
2020-12-18,194,122.75129864997152,0.5654658837303848,0.5589439280585036
2020-12-21,195,143.9838897712678,0.40488976372009683,0.9256795933676046
2020-12-22,196,137.9996739891311,0.46032004770530865,0.8189315604276757
2020-12-23,197,137.69756158491606,0.47065427313558683,0.77849124049876
2020-12-24,198,164.0106393611254,0.2697568304672586,0.9880438087875886
2020-12-28,199,137.77256894445247,0.48593199250434543,0.7881451756989376
2020-12-29,200,143.99875778944744,0.44445430325835367,0.9391590043742735
2020-12-30,201,137.68745616403095,0.502480506634675,0.7029383753069391
2020-12-31,202,143.98915154792948,0.4604035591434168,0.8635368433956658
2021-01-04,203,143.99524044571513,0.46829174249432437,0.8609378705663442
2021-01-05,204,137.99735644537313,0.5238305044018006,0.5814239122147702
