date,t,cp_location,cp_location_norm,cp_score
2020-09-14,126,0.00028493226695495196,0.999997738632802,1.0
2020-09-15,127,1.001381316170456,0.9999890371732504,1.0
2020-09-16,128,13.203585979130562,0.9110826509592812,0.9999999999999989
2020-09-17,129,7.450984681754427,0.9646747247479808,0.9999999999999988
2020-09-18,130,4.000104487481508,0.9999991707342738,0.9999999999999997
2020-09-21,131,5.000036087638135,0.9999997135901735,0.9999999999999966
2020-09-22,132,6.0000096989453775,0.999999923024243,0.999999999999993
2020-09-23,133,9.710460310108164,0.9784884102372369,0.9999999995851055
2020-09-24,134,51.98616427865323,0.6509034581059268,0.9999996226887098
2020-09-25,135,51.98804721131002,0.6588250221324602,0.9999844969289317
2020-09-28,136,10.000159027215398,0.9999987378792429,0.9999999685089975
2020-09-29,137,51.72990289922094,0.6767468023871354,0.9999719540113011
2020-09-30,138,27.00513594244786,0.880911619504382,0.9999997614750059
2020-10-01,139,27.068960875580494,0.8883415803525357,0.9997618324819199
2020-10-02,140,27.06141004506739,0.8963380155153382,0.9996528152818821
2020-10-05,141,51.993988319146304,0.7063969181020135,0.9962708761417662
2020-10-06,142,51.98200419444336,0.7144285381393384,0.9864409018343382
2020-10-07,143,27.091612053399107,0.9199078408460388,0.9960007223846737
2020-10-08,144,27.07165100729825,0.9280027697833473,0.9968878270849544
2020-10-09,145,51.66296838738759,0.7407700921635906,0.9596761000515911
2020-10-12,146,66.26342591788875,0.6328299530326289,0.9099191838047418
2020-10-13,147,61.99340557958024,0.6746555112731727,0.9279027495597836
2020-10-14,148,86.98149739563428,0.4842738301933787,0.8552181392465336
2020-10-15,149,86.9777894273725,0.49223976644942463,0.8771574860743463
2020-10-16,150,86.69774539021057,0.50239884610944,0.8046742080611793
2020-10-19,151,86.9897147681225,0.5080181367609325,0.7808661644407494
2020-10-20,152,86.98829852490479,0.5159658847229779,0.8038551933907401
2020-10-21,153,86.98494580093038,0.5239290015799176,0.7233068346266598
2020-10-22,154,86.98869448986468,0.5318357580169469,0.7066316834236045
2020-10-23,155,86.98767986213811,0.5397803185544594,0.7319395167776694
2020-10-26,156,86.98464064101313,0.5477409472935466,0.7522034462384471
2020-10-27,157,86.9805735126283,0.5557097340267595,0.7610271646652734
2020-10-28,158,86.98838546972212,0.5635842423037927,0.7497828223907421
2020-10-29,159,61.99415816713289,0.7698876335941833,0.7839519760079433
2020-10-30,160,61.98638111698361,0.7778858641509238,0.7805386588987827
2020-11-02,161,86.98544290876406,0.5874171197717138,0.7433258280955469
2020-11-03,162,92.15016599785065,0.5543637619218202,0.8715203116147359
2020-11-04,163,99.82579966747642,0.5013825423216157,0.5968369135376952
2020-11-05,164,99.81666293790303,0.5093915639848966,0.5958141380345776
2020-11-06,165,99.8140992510295,0.517348418642623,0.5952848732389666
2020-11-09,166,99.79617820176426,0.525427157128855,0.5938531288726896
2020-11-10,167,118.02078263129357,0.38872394737068594,0.7139256996912462
2020-11-11,168,118.0181310586538,0.3966814995344937,0.7042196965772562
2020-11-12,169,117.03766137897787,0.412399512865255,0.6946272179201878
2020-11-13,170,118.01794590331129,0.41255598489435485,0.6803297950946743
2020-11-16,171,118.00414558634824,0.42060201915596634,0.7029571229620146
2020-11-17,172,118.01504040798324,0.4284520602541013,0.7198841225407047
2020-11-18,173,118.01240900116754,0.4364094523716862,0.7020696720837796
2020-11-19,174,118.01473615576259,0.444327490827281,0.6990894684536513
2020-11-20,175,118.00873810368255,0.45231160235172585,0.6913498926922746
2020-11-23,176,110.89922199613014,0.5166728413005545,0.8921100986868865
2020-11-24,177,118.00591974507675,0.4682069861501845,0.6889562338839217
2020-11-25,178,118.01159673450117,0.4760984386150701,0.7793205976716688
2020-11-27,179,118.01751240650553,0.48398799677376564,0.7750631439153307
2020-11-30,180,118.00576885915521,0.4920177074670221,0.7708366746204354
2020-12-01,181,118.01811812926593,0.4998562053232863,0.7416457730110013
2020-12-02,182,118.01634526480059,0.5078067836126937,0.7187166012748212
2020-12-03,183,122.00253092671618,0.48410689740701446,0.6316770454968317
2020-12-04,184,122.00304900223914,0.49203929363302273,0.62191564405832
2020-12-07,185,122.04281968622931,0.4996601612204023,0.628806024029751
2020-12-08,186,122.03442855369363,0.5076632654468759,0.6158706914206942
2020-12-09,187,122.0264053125279,0.5156634499005722,0.6049596068495506
2020-12-10,188,118.00726199302514,0.5554979206902767,0.7934580791583328
2020-12-11,189,118.01092620576713,0.5634053475732768,0.7680916489789288
2020-12-14,190,122.00197639451669,0.5396668540117723,0.6059673703521318
2020-12-15,191,143.96428532063766,0.37329932285208206,0.837356418783963
2020-12-16,192,128.9995794181963,0.500003337950823,0.9267287068333483
2020-12-17,193,128.97102967813768,0.5081664311258914,0.9409564572524629
2020-12-18,194,143.96295401303092,0.39711941259499267,0.8719679268480554
2020-12-21,195,128.99244720952797,0.5238694665910478,0.9368941365871748
2020-12-22,196,128.99806320724372,0.5317614031171134,0.9427869151337006
2020-12-23,197,143.95324524158147,0.4210059901461788,0.9166590467941506
2020-12-24,198,143.96415151476253,0.4288559403590275,0.9266498011528251
2020-12-28,199,143.9692752965119,0.4367517833610166,0.9356643026132437
2020-12-29,200,128.98970416941972,0.5635737764331767,0.9733914358702395
2020-12-30,201,128.9994763644229,0.571432727266485,0.9797206265998687
2020-12-31,202,143.96838011509612,0.4605684117849514,0.9552708180534001
2021-01-04,203,128.9988949667379,0.587310357406842,0.9419495446373612
2021-01-05,204,143.9725315482625,0.4764084797756944,0.9006328456165127
2021-01-06,205,128.99717626357227,0.6031970137811724,0.8767021508848264
