date,t,cp_location,cp_location_norm,cp_score
2020-10-28,126,49.896106970294525,0.6039991510294085,0.9999985460163938
2020-10-29,127,49.916208206403596,0.6117761253460032,0.9999974789264391
2020-10-30,128,49.92744302087993,0.6196234680882545,0.9999974936241264
2020-11-02,129,49.92545337477603,0.6275757668668569,0.9999978528186844
2020-11-03,130,49.91150552690289,0.6356229720087072,0.9999987926315618
2020-11-04,131,49.929633982863585,0.6434156033106065,0.9999968964051505
2020-11-05,132,41.75956275787396,0.7161939463660797,0.9999950142559828
2020-11-06,133,49.92822097317743,0.6592998335462109,0.9999950238212238
2020-11-09,134,41.691276939175594,0.7326089131811461,0.9999714150559789
2020-11-10,135,49.8469768515495,0.6758176440353214,0.999963878835758
2020-11-11,136,29.77358743668443,0.8430667663755204,0.9999682894595655
2020-11-12,137,49.87624728969288,0.6914583548437073,0.9999555415370888
2020-11-13,138,41.9136941611892,0.7625897288794508,0.9999526654240173
2020-11-16,139,49.935795213376025,0.7068587681478093,0.999843583910494
2020-11-17,140,49.94201822862554,0.7147458870744005,0.9998699493504136
2020-11-18,141,49.92996515771925,0.7227780543038155,0.9998296731997435
2020-11-19,142,49.91756450962016,0.7308129800823796,0.9998779926341311
2020-11-20,143,49.91379899687536,0.7387793730406718,0.9999296796010252
2020-11-23,144,49.913149359421034,0.7467210368299918,0.9998207064946892
2020-11-24,145,49.901010349299355,0.7547538861166718,0.999091744607091
2020-11-25,146,49.9077130449119,0.7626371980562547,0.9987272126696847
2020-11-27,147,49.916760979617464,0.770501896987163,0.9991974527843518
2020-11-30,148,49.91837285127659,0.7784256122914557,0.9994699830700818
2020-12-01,149,49.91430815990226,0.7863943796833154,0.9996840977957715
2020-12-02,150,59.808672537752535,0.7158041862083133,0.9999554336165649
2020-12-03,151,49.9044948102122,0.8023452792840302,0.9997914414417921
2020-12-04,152,62.20484691501321,0.7126599451189428,0.9999072612033462
2020-12-07,153,27.000001559802033,0.9999999876206188,0.9997044057850982
2020-12-08,154,121.01026248094882,0.2618233136432633,0.9918407859594696
2020-12-09,155,121.02160999829803,0.2696697619182696,0.9927022011806342
2020-12-10,156,118.61343884704833,0.2967187393091402,0.9999223949375197
2020-12-11,157,118.60841828444535,0.30469509298059244,0.9999082146736273
2020-12-14,158,118.61681758969286,0.3125649397643424,0.9998958947792427
2020-12-15,159,118.59925710185784,0.32064081665192185,0.9998556973022337
2020-12-16,160,100.02322562134368,0.47600614586235174,0.9922892895015816
2020-12-17,161,100.04499915459438,0.4837698479794097,0.9932321150544794
2020-12-18,162,118.58975010379567,0.3445257928270185,0.9998548313691374
2020-12-21,163,118.58313364363663,0.35251481235209026,0.9998244639035783
2020-12-22,164,100.00679910055247,0.5078825468210122,0.9922197776129367
2020-12-23,165,118.58795325586271,0.3683495773344229,0.999955723071757
2020-12-24,166,118.54260376547609,0.37664600186130087,0.9999432459590265
2020-12-28,167,118.02365994165312,0.3887011115741816,0.9999739227222978
2020-12-29,168,118.45580318096438,0.39320791126218746,0.999995771018874
2020-12-30,169,118.00475773613654,0.4047241449512973,0.9999955362675041
2020-12-31,170,118.00304201121797,0.4126742697522383,0.9999944924519367
2021-01-04,171,118.00554332499102,0.4205909259921347,0.9999954706413987
2021-01-05,172,118.01296039721456,0.42846856827607493,0.9999963900722126
2021-01-06,173,118.34101829616559,0.4338014420939239,0.9999952391197352
2021-01-07,174,118.00316294496263,0.4444193417066458,0.9999927166864023
2021-01-08,175,118.02448297551041,0.4521866430515047,0.9999998911395486
2021-01-11,176,118.00825346798791,0.4602519566032705,0.9999999778396446
2021-01-12,177,118.0072032257291,0.4681967997958008,0.9999999762546867
2021-01-13,178,118.01032106324485,0.4761085629901203,0.9999999675117446
2021-01-14,179,113.71608601091415,0.5181263015006813,0.9999999439034799
2021-01-15,180,118.00112908055797,0.49205453110668274,0.999999973657319
2021-01-19,181,113.72508303333241,0.5339279124338697,0.999999929816201
2021-01-20,182,113.61026196044668,0.5427756987266137,0.9999999394898016
2021-01-21,183,98.66540467002119,0.669322185158562,0.9999992126813245
2021-01-22,184,98.61341840726234,0.6776712824820449,0.9999983631191076
2021-01-25,185,113.46345084476842,0.5677503901208856,0.9999999007121776
2021-01-26,186,153.01366986130728,0.26179627094200575,0.9387699237677285
2021-01-27,187,153.00710406916315,0.269784888339975,0.9502378734066147
2021-01-28,188,151.06903723784882,0.2931028790646919,0.934451900780075
2021-01-29,189,150.92085755133056,0.3022154162592813,0.9187221911307488
2021-02-01,190,150.19360938726982,0.3159237350216681,0.8980897733598937
2021-02-02,191,113.4561016028211,0.6154277650569755,0.9999998307976018
2021-02-03,192,130.03814467263373,0.49176075656639895,0.8705592567996504
2021-02-04,193,130.0101078109996,0.49991977927778086,0.8765925787654298
2021-02-05,194,130.01049889659356,0.5078531833603686,0.8522393841862703
2021-02-08,195,130.00177018895516,0.5158589667543241,0.8271721499711487
2021-02-09,196,113.34657383422852,0.655979572744218,0.9999990467816946
2021-02-10,197,98.66838499807383,0.7804096428724299,0.9999866617129373
2021-02-11,198,149.46701813841707,0.3851823957268486,0.7438438495816491
2021-02-12,199,149.39660401570194,0.39367774590712745,0.7245047576075048
2021-02-16,200,139.72181809316106,0.4783982691018963,0.6329324335255997
2021-02-17,201,139.72720172489238,0.4862920498024414,0.6417146415437687
2021-02-18,202,139.71320661049535,0.49433963007543374,0.6316689160334981
2021-02-19,203,149.31726973284304,0.426053414818706,0.7021753183562098
2021-02-22,204,149.2915540145275,0.4341940157577183,0.6934527268082855
