date,t,cp_location,cp_location_norm,cp_score
2020-09-14,126,15.687320436700244,0.8754974568515853,0.9999998255992768
2020-09-15,127,29.7690369544974,0.7716743098849413,0.9998673708723858
2020-09-16,128,30.412555251455803,0.7745035297503507,0.9998306510424962
2020-09-17,129,28.920419865803385,0.7942823820174335,0.9998461776337713
2020-09-18,130,26.443473099818416,0.8218771976204887,0.9998785992849791
2020-09-21,131,89.01979439181704,0.333176234985579,0.9613735280828236
2020-09-22,132,89.01594138389842,0.34114332235001255,0.9566649861562437
2020-09-23,133,89.01907292186041,0.34905497681063163,0.9963304130993178
2020-09-24,134,89.01780620317736,0.357001538070021,0.9947916521479966
2020-09-25,135,95.25245529145529,0.3154567040360691,0.9974526076576992
2020-09-28,136,95.25585269761496,0.32336624843162737,0.9983998748334767
2020-09-29,137,95.00358734131812,0.33330486237049106,0.9983137780506675
2020-09-30,138,89.00608153801826,0.38884062271414077,0.9974270848328427
2020-10-01,139,89.01502724797443,0.3967061329525839,0.9991740808854167
2020-10-02,140,89.00677918805235,0.40470810168212423,0.9991539359440458
